"길명",길소개,총길이,총소요시간,시작지점명,시작지점도로명주소,시작지점소재지지번주소,종료지점명,종료지점소재지도로명주소,종료지점소재지지번주소,경로정보,관리기관전화번호,관리기관명,데이터기준일자
"청운효자동B",500년 선비들의 ''''삶과 사상''''을 알아보는 길,3,2시간30분,이상범 가옥 및 화실,서울특별시 종로구 필운대로 31-7,"서울특별시 종로구 누하동 178, 182",송강정철 집터,서울특별시 종로구 자하문로 105,서울특별시 종로구 청운동 123,이상범 가옥 및 화실 → 구립 박노수 미술관 → 우당기념관 → 서울 농·맹학교 담장벽화 → 선희궁 터 → 송강 정철 집터 및 시비,02-2148-1858,서울특별시 종로구청,2018-08-16
"청운효자동A",500년 선비들의 ''''삶과 사상''''을 알아보는 길,3,2시간30분,보안여관,서울특별시 종로구 효자로 33,서울특별시 종로구 통의동 2-1,청운공원,서울특별시 종로구 창의문로 119,서울특별시 종로구 청운동 3-100,보안여관 → 창성동 한옥마을 → 쌍홍문 터 → 해공 신익희 가옥(제한 개방) → 청와대 사랑채 → 무궁화동산 → 육상궁(제한 개방) → 창의문로 → 윤동주 문학관 → 청운공원(윤동주 시인의 언덕),02-2148-1858,서울특별시 종로구청,2018-08-16
"진경산수화길",겸재 정선이 태어나고 자란 터를 돌아보며 그림에 등장했던 배경을 알아가는 길,3,2시간,윤동주문학관,서울특별시 종로구 창의문로 119,서울특별시 종로구 청운동 3-100,수성동계곡,서울특별시 종로구 옥인동 185-3,서울특별시 종로구 옥인동 185-3,"윤동주 문학관, 시인의 언덕 → 백운동천 바위 및 김가진 집터 → 청송당 바위 → 겸재 정선 집터 → 백세청풍 각자 및 김상용 집터 → 청휘각 → 가재우물터 → 인곡정사터 → 윤동주 하숙집 터 → 수성동 계곡",02-2148-1858,서울특별시 종로구청,2018-08-16
"인왕자락문학산책길",인왕산의 생태 숲길과 우리 민족의 고귀한 문학 유산과 아름답고 소중한 삶을 남기고 간 문학인들의 시향을 따라 걷는 길,3,3시간,윤동주문학관,서울특별시 종로구 창의문로 119,서울특별시 종로구 청운동 3-100,이상의 집터,서울특별시 종로구 자하문로7길 18,서울특별시 종로구 통인동 154-10,"윤동주 문학관, 시인의 언덕 → 청운문학도서관 → 인왕산책로 → 수성동 계곡 → 윤동주 하숙집터 → 이상범 가옥 및 화실 → 천경자 가옥 → 노천명 가옥 → 이상의 집",02-2148-1858,서울특별시 종로구청,2018-08-16
"세종마을","평범한 사람들의 오래된 삶의 터전, 633동의 한옥마을을 체험하는 길",4,2시간30분,창의궁 터,서울특별시 종로구 가회동 35-16,서울특별시 종로구 가회동 35-16,세종대왕 나신 곳,서울특별시 종로구 자하문로 41,서울특별시 종로구 통인동 119,창의궁 터 → 통의동 백송 터 → 대림미술관 → 통의동 한옥마을 → 보안여관 → 창성동 한옥마을 → 쌍홍문 터 → 해공 신익희 가옥(제한개방) → 청와대 사랑채 → 김상헌 집터 → 겸재정선 집터 →정철 집터 및 시비 → 선희궁 터 → 서울 농·맹학교 담장벽화 → 우당기념관 → 자수궁 터 → 송석원 터 → 벽수산장 터 → 구립 박노수 미술관 → 윤동주 하숙집 터 → 수성동 계곡 → 이상범 가옥 및 화실 → 천경자 가옥 → 노천명 가옥 → 이상의 집 → 세종대왕 나신 곳,02-2148-1858,서울특별시 종로구청,2018-08-16
"문학둘레길",우리 민족의 고귀한 문학 유산과 아름답고 소중한 삶을 남기고 간 문학인들의 시향을 따라 걷는 길,4,3시간,보안여관,서울특별시 종로구 효자로 33,서울특별시 종로구 통의동 2-1,현진건 집 터,서울특별시 종로구 부암동 325-2,서울특별시 종로구 부암동 325-2,"보안여관 → 세종대왕 나신 곳 → 이상의 집 → 노천명 가옥 → 윤동주 하숙집 터 → 우당기념관→정철 집터 및 시비 → 청송당 유지 → 김가진 집터 → 청운문학도서관 → 윤동주 문학관, 시인의 언덕 → 무계정사 → 현진건 집 터",02-2148-1858,서울특별시 종로구청,2018-08-16
"체부동 예술가길","조선 초기 왕족들의 터전으로, 중기부터 사대부들이 살던 곳이자 서인 학문과 예술의 발상지를 따라 걷는 길",2,2시간,세종마을 음식문화 거리,서울특별시 종로구 사직로 130,서울특별시 종로구 내자동 68-1,이상의 집터,서울특별시 종로구 자하문로7길 18,서울특별시 종로구 통인동 154-10,세종마을 음식문화 거리 → 체부동 교회 → 천경자 가옥 → 노천명 가옥 → 이상범 가옥 및 화실 → 이중섭 집 터→ 구립 박노수   미술관 → 윤동주 하숙집 터 →  수성동 계곡 → 시인 이상의 집,02-2148-1858,서울특별시 종로구청,2018-08-16
"사직동A",사직단을 둘러보고 한옥과 적선가옥이 마주보는 오솔길을 걷는 길,3,2시간,사직단,서울특별시 종로구 사직동 1-48,서울특별시 종로구 사직동 1-48,세종마을음식문화거리,서울특별시 종로구 사직로 130,서울특별시 종로구 내자동 68-1,사직단 → 단군성전 → 오솔길 → 홍난파 가옥 → 딜쿠샤 → 권율 도원수 집터 → 인왕산 산책로 → 황학정(국궁전시관) → 배화여자고등학교 생활관 및 이항복 집터(필운대)→ 세종마을 음식문화 거리,02-2148-1858,서울특별시 종로구청,2018-08-16
"사직동B(경희궁길)",현대 건축과 궁을 둘러보고 경희궁길 산책로를 즐길 수 있는 길,2,2시간,세종문화회관,서울특별시 종로구 세종대로 175,서울특별시 종로구 세종로 81-3,경희궁길카페와바,서울특별시 종로구 경희궁길 42,서울특별시 종로구 신문로2가 1-101,세종문화회관 → 세종로 → 현대해상 광화문 사옥 → 야주개 터 → 훈련도감 터 → 흥국생명 해머링 맨 → 서울역사박물관 → 서울시립미술관 → 경희궁(산책로) → 성곡미술관 → 경희궁길 카페와 바,02-2148-1858,서울특별시 종로구청,2018-08-16
"소파방정환길A",어린이라는 말을 처음 만들고 한국 최초 동화집을 펴낸 아동문학가 소파 방정환을 알아보는 길,3,3시간,매동초등학교,서울특별시 종로구 사직로9길 19,서울특별시 종로구 필운동 32,인왕산,서울특별시 종로구 통일로18가길 26,서울특별시 종로구 무악동 산3-4,매동초등학교 → 종로도서관 → 황학정 → 인왕산,02-2148-1858,서울특별시 종로구청,2018-08-16
